id,puzzle,solution,difficulty_level,difficulty_score,hardest_technique,rating_version,source,content_version,checksum,enabled
hsp-48a39beea80a7e57d5e3,300006000000001030026000400082600100901200000000009007063700001005000004470105603,348576912597421836126938475782653149951247368634819257263794581815362794479185623,1,53,nakedSingle,hodoku2-2.4.3+hsp-1.2,hodoku2-2.4.3-build-116,4,d9af01bf5bac6928c0045e17487bb1d2068b62c2eab2e051e700c0f1da0b5d0d,1
hsp-78ed24614df7933770bf,000000010030802005000040690004206300080500000002304500000001807810000000005700039,546973218931862745278145693754296381683517924192384576329451867817639452465728139,1,54,nakedSingle,hodoku2-2.4.3+hsp-1.2,hodoku2-2.4.3-build-116,4,492ca548948ef76b4ef875a127ec2b6541de6c1bc02db1b838f167365096dbf9,1
hsp-b80fd380063ec5a30466,000000064700000209604300108300047800800000000000000700000092000030068002280750006,123879564758614239694325178365247891872931645941586723516492387437168952289753416,1,54,hiddenSingle,hodoku2-2.4.3+hsp-1.2,hodoku2-2.4.3-build-116,4,31dd9ca2773d0fe19cdde43cc094e4e3a226f3ce79e2ecc9657b79560f2bb42f,1
hsp-368d1f03fd270b525cef,000003200000000000005001006064000890050800637007000020009302510020080009000906700,978463251416258973235791486364127895152849637897635124649372518721584369583916742,1,54,hiddenSingle,hodoku2-2.4.3+hsp-1.2,hodoku2-2.4.3-build-116,4,b7e1039254c7ac79fc2e92ac2bebf745748b9228e63f346d491e504687dba4da,1
hsp-1af424b73d3f95e44bd9,000720000007900403000010008000000000800000030001370090012500004000130089300490520,184723956267958413539614278723869145895241637641375892912587364456132789378496521,1,54,nakedSingle,hodoku2-2.4.3+hsp-1.2,hodoku2-2.4.3-build-116,4,301f78a207f390905bf62338f9c3a2b615839f79d93e68335592539c57bf3ee9,1
hsp-96c0c735f9fa58cd15f7,000804010300900860026010000013298500902500000000000600035009000000000130100005000,759864213341952867826713459613298574972546381584371692235189746498627135167435928,1,54,hiddenSingle,hodoku2-2.4.3+hsp-1.2,hodoku2-2.4.3-build-116,4,1b18569d80d2dcf6e190495b85cdbbb47843902aa27fda913765a04ac9c10780,1
hsp-eed3be2635d08ceeb4ea,000903070500700000008540320609200000000000132005300040000009216006100095000000000,162983574543721968798546321639214857487695132215378649374859216826137495951462783,1,54,nakedSingle,hodoku2-2.4.3+hsp-1.2,hodoku2-2.4.3-build-116,4,66236b8b4bb14d2cbb8c75ecf884d285d4db4e72c46f22085fe10e72e0d8d8df,1
hsp-6928217055fb79bad9ba,003026007700008000180007920008001270500800000040030000002000400865000000370000500,453926187729148653186357924638491275597862341241735896912573468865214739374689512,1,54,nakedSingle,hodoku2-2.4.3+hsp-1.2,hodoku2-2.4.3-build-116,4,9ba5e8e543bd78d2f85fb59d292d480048231892031fd9b4e8bde85652ae5a59,1
hsp-da921f1b2dce9349f893,005163040106000030030004000000000060400602000000050000008400090070001024050287300,795163248146825937832974651527348169489612573361759482218436795673591824954287316,1,54,nakedSingle,hodoku2-2.4.3+hsp-1.2,hodoku2-2.4.3-build-116,4,01dee60c301e9ed9c5843179373c966c9a13a124c0d13a5714ae3ca6745a2904,1
hsp-c058e58ffd6fcc62dd8d,010000000382000000000000830000090301034000020001800740090568002800900000060204500,716385294382749615549612837278496351634157928951823746493568172825971463167234589,1,54,hiddenSingle,hodoku2-2.4.3+hsp-1.2,hodoku2-2.4.3-build-116,4,6a69a613f368b61c58088c96c72f51b7573e5a357841199fdf084b31c7022c44,1
