id,puzzle,solution,difficulty_level,difficulty_score,hardest_technique,rating_version,source,content_version,checksum,enabled
hsp-bec7b14c7309c1129bc9,000005000700190000059376100300000000000080021002001846040060000080910063000000009,861425937723198654459376182318642795674589321592731846947263518285917463136854279,1,266,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,67f6f16a8987ba2612506073fd09d18b8e545c7b2469bb5580ab06b80073c33e,1
hsp-e9a30c1d248620dd7f76,104206095900001000000004000000000006000070004035000908000800400000000209650000071,174286395983751642526934187492518736861379524735642918217895463348167259659423871,1,268,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,cecc77e39cc0e55928f7491726ca09074a83cc82c68463edf66eae5519bd9462,1
hsp-9dc91ff3468f8f23ffd4,005000003300007900000005001427030600010900504003008000000000702000684100100000060,975816423381247956246395871427531689618972534593468217869153742732684195154729368,1,280,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,2304c17bf029464307c82a1002b282209bde65f92ad5d71b1129bc0560cf8c46,1
hsp-617ac40d5f74cc1c2d52,000000010000900056103000800500200097700040080080310000000000060075400000000106920,469785213827931456153624879514268397732549681986317542291853764675492138348176925,1,284,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,f16cf3ee965491ee1cbc4fc6919c1097ef79b5d8309d8b1fef7ae66b09e2bc66,1
hsp-a9ae8b2b52c751ade9c0,000480900519000000008002000075000203490263000000000000000000000700906840000048300,267481935519637482348592716675814293491263578832759164184375629753926841926148357,1,294,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,96efdcab671c88e99091703a7a60c4e5067219791802f53b4facea05f4819bbe,1
hsp-6814c11ef1bbecaeb53e,700002000000000200340000000000000005870091000000076040006000350000038010200100097,719382564658714239342659781461823975875491623923576148186947352597238416234165897,1,332,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,cdd3751425e3a25f2473f6f397001e0beb64307da93f2388d364feaef425118d,1
hsp-1c5296cf40a91c0da98f,500000000000010056000060479013985000700000000000000030026000000000009208007802001,564798312379214856281563479413985627792346185658127934826451793135679248947832561,1,338,h1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,65ff4286fa3b650cfc2bfc87cd2a5d895e5826e843d7b7c6cd719333c72f3c57,1
hsp-95c0bb55d1f365b67283,007136000060098001000700000540200000006000240090000080000085000000000400072604950,827136594463598721159742863548269137736851249291473685614985372985327416372614958,1,340,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,d55f5a419d662aa8e60f5219b69e44782f99fa8da79abac9a00c2ce1db50f507,1
hsp-eac4cf8a0b44bc81726f,006900000000000012400823000000050006003600000007000028002309700010000290700085000,326971854978546312451823679294758136183692547567134928642319785815467293739285461,1,344,h1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,acfcd06d3d5c8dda3f5b3fada6c076987fa88fcb91f1033ca13d7fc862186dc5,1
hsp-0567e3bd9a23d0776678,000005004702000003000027000860004705000000000401002600000700000290500480650000030,189635274742981563536427819863194725925876341471352698314768952297513486658249137,1,354,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,90e98c2d02f49d87bf87170db3ac3949a958338b5a8281bdd1de4d2d8a3b4b42,1
hsp-fd91e904622f3837a06b,000705048304090010060000000000003000070059000000010485010000200095000600007500000,129765348354298716768341529581423967476859132932617485813976254295184673647532891,1,368,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,810280e77219a38370021347196b579e470379e3b13351c5545328551b183235,1
hsp-d695798427d92b93a1d8,000000000004350000079000604000009000000170350000000019000001060386900170090780000,813694725624357891579812634135469287942178356768523419457231968386945172291786543,1,374,h1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,f7c27225d0f4a46f1fb714113b0a7ab1c3aeee2a58c7dc1404bfe25e3d642b40,1
hsp-f4b7b121fea8566e4116,000700000200000600009000002300000008000006020520010000908302004600800050000900700,465723891283149675719685342346297518891536427527418936978352164634871259152964783,1,376,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,818931bf44e31130d5385dba94f214c30ed5962ab05f580d5f60b7204adc5c7c,1
hsp-c2931c8b5038124fea3b,000000000000005274074060100000002410080000009920004030030040000000910387190000000,815427963369185274274369158753892416486531729921674835637248591542916387198753642,1,390,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,6bc53bb4f4ccdc13aba65de0508a9b73aaee6e480f509c6bdc1d663798ce937f,1
hsp-3e82818a12608ddcbb64,000070560301800000590000000850002300260000001009700000030080607000000000010903000,428179563371856942596324718857612394263495871149738256934581627685247139712963485,1,408,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,f29479ae6cc6a64fd0231286f425541874b87ee5041685ed928d8017d09c28e1,1
hsp-98c528bf55d3a01fcc5d,060000720700800340000030005002740000080000000600002000000000590058000460001080000,863451729715829346429637185592748613184365972637192854376214598258973461941586237,1,412,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,b73cb92ddc5a8f8545d0ba39a37f7b4ece5448005d110dbccfac529df18437e0,1
hsp-c7fbef56e1e5c18021a9,009000003000070000740006200953080106008060020000000004670920000000030000000705000,129854763836279415745316298953482176418567329267193854674928531582631947391745682,1,428,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,430d64b65aa7cc4b314060a364c2be6a4e4920f447dc62014f7b4f52dd62a36b,1
hsp-8016370480b0740b9036,000039040100200680070000100000006070090020008300000260006000000040007000200040009,862139547159274683473568192524386971691725438387491265736952814945817326218643759,1,432,h1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,d4b0c83d3bc08559eb399fe7b5427f20f62bbdb55a9161e9a8345689eb3b3c85,1
hsp-2ab17d27c36d2df99155,000040035907000400000700000700205004300000000080436000000009000008000170039520000,612948735957613428843752691761295384394871562285436917476189253528364179139527846,1,438,n1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,e1d2dc1488df6bc80df6a59569b020a492612b321e364d4c8c811b601af933d4,1
hsp-5c5a94d81291a2b44d67,000060000008000261070490000000030008451200000000000000800001609000020380005009000,532168497948753261176492835697534128451286973283917546824371659719625384365849712,1,442,h1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,0b14d3f99a41b5a1c35591b48fa48558c697d01cbbe7a1376fac216d423fbc03,1
hsp-0340500b01aa34c8bd5a,009000000000000503000002080000417006600005700000006031270080000030070102901300070,189753624742968513356142987893417256614235798527896431275681349438579162961324875,2,400,l2,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,0b09687e334edd616392334f7475053b3af15f118927e9ced3b6d8765874965a,1
hsp-e7cf01307154d79eb57f,907500003030980270000000900000000006040000705000000090072008000000704120001300080,987512463534986271126473958319257846248639715765841392672198534853764129491325687,2,414,lc1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,f10754b94c96ae5fee96eb6e7f5a03cbf9bfa00404d470389eb61d6c0f46e141,1
hsp-0631caea5be57672e28c,009580000000000985000020037060300000000000000070100603004000021000640000508000460,719583246243761985856924137965372814381496572472158693694835721127649358538217469,2,418,lc1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,b5b76c701c84c6a86d9be73b2f52462597508420ebd2fc818d1f2da18ecc45de,1
hsp-e14d99c3349d703cded5,306000280258000010010000007000000000560070020009306400000120000000060750780090000,376541289258739614914682537147258396563974821829316475635127948491863752782495163,2,420,lc1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,94d2f9b401c3958fe8c23130a8a8b427e8c5cb87b23c40d09f2b56ba1c40e690,1
hsp-947871ba4620eb3a4cd9,105270030327090000900000000000000060008019350700080000004000000000800046000400019,185276934327194685946358127291543768468719352753682491614925873579831246832467519,2,434,lc1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,f912baa661c274ea519d9797e3d8f73276506d7d16492a05b4e9e5ea7795be54,1
hsp-3cbee77322fcaa49792c,085601000000020085004300000000400061400009700209000040030100070060000000000003600,385691427691724385724358196853472961416839752279516843938165274162947538547283619,2,438,l2,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,837ffba7e0ff74bd968c07fd54bf34e7017bc0891728dcf7dac917e0f5e6a740,1
hsp-41cd1e12a52b20306e14,000005120600300080003014050000700000000000009000200034005020000040003000200001640,489675123651392487723814956594736812372148569816259734165427398948563271237981645,2,442,lc1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,68747bfa54dad6193e1495515fcc91e2409ae369379b008efcec000f0b43aac8,1
hsp-cc4b5afe087fe8420b69,040000005100000070609500000000200908050080000000070000003027009006000800700031200,842713695135968472679542381367254918951386724428179563583627149216495837794831256,2,452,lc1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,a80fdf1e52c77d06b243070c930af2e6ab592b4373edaf0c34cad4301a4698e7,1
hsp-6c8613549b9b28141cd8,000700014000045900000098076413000000700030000002000050000000005240060000007009820,986723514371645982524198376413586297759234168862917453198372645245861739637459821,2,454,lc1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,1927efec1fd87d98d0f63e96b2894b8d9b49208a30d781fd59938681bc086378,1
hsp-26ead24543c1d6567870,000000008004108052300620070040000025000500890056090000092000400005030000000009000,527943618964178352318625974149386725273514896856792143692857431785431269431269587,2,494,lc1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,a026c3aa364ad9646bc76e4d3ab0399e1117929dd165163951904a39eb240083,1
hsp-29df32eaace9f0009ba4,814096000000002000009000040040010600000030001000009050001370800650040270000020000,814796325376452198529183746945817632762534981183269457291375864658941273437628519,2,514,lc1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,2f992923597b01fd6e8347184c2752af83200b9bfe091d71aa62855200a18a94,1
hsp-9000212407601134a9c8,000010030092805100003400000009000000000000742500042090000501060000798500070000000,758216439492835176613479285249187653861953742537642891984521367326798514175364928,2,544,lc1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,39799090b436e098e968bb926f5339f06d92d9e400367cdc1ccb5fd9926ba38c,1
hsp-9f9b7db46313c8e324d9,075030014020040000000000360900085600306009000010000000290150000000200040000000007,675832914123946785489571362942385671356719428718624593294157836537268149861493257,2,558,lc1,hodoku2-2.4.3+hsp-1.0,hodoku2-2.4.3-build-116,1,88db19b0c36c9a3057f894f32ba02768468c57a5f80ba930416fa874ea85e71a,1
